"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,ms,ms,ms,
"GPU activities",50.754654,83.242555,1,83.242555,83.242555,83.242555,"[CUDA memcpy DtoH]"
"GPU activities",49.245346,80.767145,3,26.922381,23.124574,29.515018,"[CUDA memcpy HtoD]"
"API calls",44.111915,164.892519,4,41.223129,23.395318,83.647786,"cudaMemcpy"
"API calls",43.145080,161.278439,3,53.759479,0.529706,160.203768,"cudaMalloc"
"API calls",12.355380,46.185021,3,15.395007,1.559414,22.390776,"cudaFree"
"API calls",0.228001,0.852278,2,0.426139,0.424520,0.427758,"cuDeviceTotalMem"
"API calls",0.137653,0.514554,194,0.002652,0.000220,0.112191,"cuDeviceGetAttribute"
"API calls",0.013833,0.051708,2,0.025854,0.023440,0.028268,"cuDeviceGetName"
"API calls",0.005665,0.021176,2,0.010588,0.003568,0.017608,"cuDeviceGetPCIBusId"
"API calls",0.001013,0.003787,1,0.003787,0.003787,0.003787,"cudaLaunchKernel"
"API calls",0.000656,0.002454,4,0.000613,0.000260,0.001024,"cuDeviceGet"
"API calls",0.000613,0.002290,3,0.000763,0.000278,0.001394,"cuDeviceGetCount"
"API calls",0.000191,0.000714,2,0.000357,0.000322,0.000392,"cuDeviceGetUuid"
