"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,ms,ms,ms,
"GPU activities",54.812195,101.834515,3,33.944838,25.816028,41.114503,"[CUDA memcpy HtoD]"
"GPU activities",45.187805,83.953548,1,83.953548,83.953548,83.953548,"[CUDA memcpy DtoH]"
"API calls",80.073771,779.484576,3,259.828192,0.713881,778.046186,"cudaMalloc"
"API calls",19.259407,187.482250,4,46.870562,26.186701,84.955032,"cudaMemcpy"
"API calls",0.412320,4.013759,3,1.337919,0.528056,2.102781,"cudaFree"
"API calls",0.177321,1.726148,2,0.863074,0.745633,0.980515,"cuDeviceTotalMem"
"API calls",0.066406,0.646430,194,0.003332,0.000229,0.139700,"cuDeviceGetAttribute"
"API calls",0.007459,0.072606,2,0.036303,0.029958,0.042648,"cuDeviceGetName"
"API calls",0.002571,0.025030,2,0.012515,0.003307,0.021723,"cuDeviceGetPCIBusId"
"API calls",0.000264,0.002572,1,0.002572,0.002572,0.002572,"cudaLaunchKernel"
"API calls",0.000203,0.001974,3,0.000658,0.000256,0.001277,"cuDeviceGetCount"
"API calls",0.000201,0.001961,4,0.000490,0.000228,0.001229,"cuDeviceGet"
"API calls",0.000077,0.000748,2,0.000374,0.000325,0.000423,"cuDeviceGetUuid"
