"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,ms,ms,ms,
"GPU activities",50.925859,114.456417,3,38.152139,33.019678,43.423396,"[CUDA memcpy HtoD]"
"GPU activities",49.074141,110.294661,1,110.294661,110.294661,110.294661,"[CUDA memcpy DtoH]"
"API calls",51.513250,256.755635,3,85.585211,1.463516,253.803931,"cudaMalloc"
"API calls",45.551752,227.041956,4,56.760489,33.627812,111.552667,"cudaMemcpy"
"API calls",2.691871,13.416997,3,4.472332,0.461331,6.665787,"cudaFree"
"API calls",0.181754,0.905908,194,0.004669,0.000188,0.256513,"cuDeviceGetAttribute"
"API calls",0.040252,0.200627,2,0.100313,0.098810,0.101817,"cuDeviceTotalMem"
"API calls",0.013949,0.069527,2,0.034763,0.033790,0.035737,"cuDeviceGetName"
"API calls",0.005564,0.027734,2,0.013867,0.002584,0.025150,"cuDeviceGetPCIBusId"
"API calls",0.000697,0.003473,1,0.003473,0.003473,0.003473,"cudaLaunchKernel"
"API calls",0.000512,0.002550,3,0.000850,0.000252,0.001874,"cuDeviceGetCount"
"API calls",0.000273,0.001361,4,0.000340,0.000186,0.000722,"cuDeviceGet"
"API calls",0.000125,0.000625,2,0.000312,0.000296,0.000329,"cuDeviceGetUuid"
