"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,ms,ms,ms,
"GPU activities",51.857865,1.857417,1,1.857417,1.857417,1.857417,"vecGPU(float*, float*, float*, int, int)"
"GPU activities",35.956737,1.287879,3,0.429293,0.427043,0.433698,"[CUDA memcpy HtoD]"
"GPU activities",12.185398,0.436450,1,0.436450,0.436450,0.436450,"[CUDA memcpy DtoH]"
"API calls",96.380191,179.144496,3,59.714832,0.111660,178.915360,"cudaMalloc"
"API calls",2.195603,4.081028,4,1.020257,0.524555,2.445100,"cudaMemcpy"
"API calls",0.505116,0.938873,3,0.312957,0.155681,0.394023,"cudaFree"
"API calls",0.450273,0.836934,2,0.418467,0.412748,0.424186,"cuDeviceTotalMem"
"API calls",0.317946,0.590974,194,0.003046,0.000246,0.125309,"cuDeviceGetAttribute"
"API calls",0.107067,0.199009,1,0.199009,0.199009,0.199009,"cudaLaunchKernel"
"API calls",0.030706,0.057074,2,0.028537,0.026796,0.030278,"cuDeviceGetName"
"API calls",0.009870,0.018345,2,0.009172,0.002900,0.015445,"cuDeviceGetPCIBusId"
"API calls",0.001556,0.002893,3,0.000964,0.000370,0.001863,"cuDeviceGetCount"
"API calls",0.001264,0.002350,4,0.000587,0.000274,0.001120,"cuDeviceGet"
"API calls",0.000408,0.000758,2,0.000379,0.000334,0.000424,"cuDeviceGetUuid"
