"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,ms,ms,ms,
"GPU activities",60.164842,6.556732,3,2.185577,2.181919,2.192670,"[CUDA memcpy HtoD]"
"GPU activities",20.405442,2.223774,1,2.223774,2.223774,2.223774,"vecGPU(float*, float*, float*, int, int)"
"GPU activities",19.429716,2.117440,1,2.117440,2.117440,2.117440,"[CUDA memcpy DtoH]"
"API calls",91.772883,224.749802,3,74.916600,0.215065,224.311391,"cudaMalloc"
"API calls",5.738947,14.054557,4,3.513639,2.920041,5.265990,"cudaMemcpy"
"API calls",1.007037,2.466211,388,0.006356,0.000242,0.260662,"cuDeviceGetAttribute"
"API calls",0.717738,1.757724,4,0.439431,0.410249,0.484027,"cuDeviceTotalMem"
"API calls",0.526900,1.290367,3,0.430122,0.265202,0.512862,"cudaFree"
"API calls",0.113369,0.277639,1,0.277639,0.277639,0.277639,"cudaLaunchKernel"
"API calls",0.100622,0.246422,4,0.061605,0.055211,0.077559,"cuDeviceGetName"
"API calls",0.018422,0.045114,4,0.011278,0.003484,0.032510,"cuDeviceGetPCIBusId"
"API calls",0.002243,0.005492,8,0.000686,0.000300,0.001422,"cuDeviceGet"
"API calls",0.001268,0.003106,3,0.001035,0.000256,0.001874,"cuDeviceGetCount"
"API calls",0.000571,0.001398,4,0.000349,0.000287,0.000475,"cuDeviceGetUuid"
