"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,ms,ms,ms,
"GPU activities",58.873257,2.845809,3,0.948603,0.938533,0.954054,"[CUDA memcpy HtoD]"
"GPU activities",25.214650,1.218823,1,1.218823,1.218823,1.218823,"[CUDA memcpy DtoH]"
"GPU activities",15.912093,0.769157,1,0.769157,0.769157,0.769157,"vecGPU(float*, float*, float*, int, int)"
"API calls",96.218817,258.798442,3,86.266147,0.201969,258.383802,"cudaMalloc"
"API calls",2.607723,7.013956,4,1.753489,1.247017,3.230161,"cudaMemcpy"
"API calls",0.395356,1.063383,3,0.354461,0.283365,0.390356,"cudaFree"
"API calls",0.351181,0.944567,2,0.472283,0.462775,0.481792,"cuDeviceTotalMem"
"API calls",0.338886,0.911497,194,0.004698,0.000194,0.256550,"cuDeviceGetAttribute"
"API calls",0.047108,0.126706,1,0.126706,0.126706,0.126706,"cudaLaunchKernel"
"API calls",0.028039,0.075417,2,0.037708,0.037660,0.037757,"cuDeviceGetName"
"API calls",0.011389,0.030634,2,0.015317,0.003995,0.026639,"cuDeviceGetPCIBusId"
"API calls",0.000676,0.001817,3,0.000605,0.000240,0.001260,"cuDeviceGetCount"
"API calls",0.000565,0.001520,4,0.000380,0.000190,0.000870,"cuDeviceGet"
"API calls",0.000260,0.000700,2,0.000350,0.000260,0.000440,"cuDeviceGetUuid"
