"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,us,us,us,
"GPU activities",62.561531,1.814143,3,604.714000,598.175000,614.112000,"[CUDA memcpy HtoD]"
"GPU activities",21.199962,0.614751,1,614.751000,614.751000,614.751000,"[CUDA memcpy DtoH]"
"GPU activities",16.238507,0.470880,1,470.880000,470.880000,470.880000,"vecGPU(float*, float*, float*, int, int)"
"API calls",97.099372,229.760357,3,76586.785000,217.658000,229315.172000,"cudaMalloc"
"API calls",1.617956,3.828471,4,957.117000,790.004000,1434.818000,"cudaMemcpy"
"API calls",0.623650,1.475705,2,737.852000,737.372000,738.333000,"cuDeviceTotalMem"
"API calls",0.303152,0.717331,3,239.110000,225.932000,264.997000,"cudaFree"
"API calls",0.271598,0.642666,194,3.312000,0.220000,139.197000,"cuDeviceGetAttribute"
"API calls",0.042622,0.100854,1,100.854000,100.854000,100.854000,"cudaLaunchKernel"
"API calls",0.030838,0.072970,2,36.485000,29.112000,43.858000,"cuDeviceGetName"
"API calls",0.008397,0.019870,2,9.935000,3.574000,16.296000,"cuDeviceGetPCIBusId"
"API calls",0.001176,0.002782,3,0.927000,0.209000,2.213000,"cuDeviceGetCount"
"API calls",0.000954,0.002257,4,0.564000,0.225000,1.471000,"cuDeviceGet"
"API calls",0.000284,0.000673,2,0.336000,0.318000,0.355000,"cuDeviceGetUuid"
